id,t,px,py,pz,theta
0.0,0.0,1176.0069826927916,1415.8861567471627,0.0,0.0
1.0,0.0,546.2550809993658,300.61927727755096,0.0,0.0
2.0,0.0,40.780477928976666,1598.9130880956518,0.0,0.0
3.0,0.0,429.85846900866017,1116.246448042694,0.0,0.0
4.0,0.0,353.4856317451369,822.3762412003591,0.0,0.0
5.0,0.0,733.0957352190122,1566.066879020994,0.0,0.0
6.0,0.0,650.9293915592981,143.47581228158685,0.0,0.0
7.0,0.0,256.0200692922632,1530.2541012331394,0.0,0.0
8.0,0.0,931.7213397487068,1548.5657215326282,0.0,0.0
9.0,0.0,468.6457874977058,1442.9589164250108,0.0,0.0
10.0,0.0,63.294410944651865,1125.3496575445527,0.0,0.0
11.0,0.0,523.6435068774174,445.00681236179446,0.0,0.0
12.0,0.0,30.89714260841875,752.2547248013277,0.0,0.0
13.0,0.0,732.6460043931222,1397.8566262712984,0.0,0.0
14.0,0.0,519.3230965804171,868.6130821551171,0.0,0.0
15.0,0.0,703.0148859145355,448.5449057606863,0.0,0.0
16.0,0.0,585.3067369953754,1233.5072212819632,0.0,0.0
17.0,0.0,20.010683097088116,1639.6643596958222,0.0,0.0
18.0,0.0,649.2151927071184,178.20242250451525,0.0,0.0
19.0,0.0,531.6932415371233,370.7959998739922,0.0,0.0
20.0,0.0,1133.747255686335,1155.902136934946,0.0,0.0
21.0,0.0,343.7885899709967,1116.8628577148256,0.0,0.0
22.0,0.0,759.7682938431012,1454.0286553342416,0.0,0.0
23.0,0.0,456.94122988712365,1375.7102525486298,0.0,0.0
24.0,0.0,538.2801000916236,419.886350440051,0.0,0.0
25.0,0.0,529.119066928883,1306.3094469338234,0.0,0.0
26.0,0.0,477.7629411097111,397.279739987535,0.0,0.0
27.0,0.0,532.4150199072964,406.224531530802,0.0,0.0
28.0,0.0,473.30031600414577,860.8273290388589,0.0,0.0
29.0,0.0,532.2560267695127,460.8332308046999,0.0,0.0
30.0,0.0,524.8541998624657,500.53888097534985,0.0,0.0
31.0,0.0,582.5645208601468,268.1621751379008,0.0,0.0
32.0,0.0,376.4351808795234,1465.24599076268,0.0,0.0
33.0,0.0,556.5651889363323,298.82005331422897,0.0,0.0
34.0,0.0,403.73446675786533,1101.8255667522387,0.0,0.0
35.0,0.0,916.6859001400422,1549.0095097669478,0.0,0.0
36.0,0.0,561.0994008802054,1161.8428968170815,0.0,0.0
37.0,0.0,1007.1584337978202,1440.2099312615487,0.0,0.0
38.0,0.0,46.2937542500383,1652.5920970240709,0.0,0.0
39.0,0.0,1161.377647519194,1417.064113542577,0.0,0.0
40.0,0.0,38.08768939288661,1634.8358258226356,0.0,0.0
41.0,0.0,526.6779451261891,391.92319873752365,0.0,0.0
42.0,0.0,933.0373472974172,1569.8154886753105,0.0,0.0
43.0,0.0,653.0648860113923,132.30710519536322,0.0,0.0
44.0,0.0,448.6130179212827,475.2607905165622,0.0,0.0
45.0,0.0,580.753981120095,573.7076685520066,0.0,0.0
46.0,0.0,468.37864098789896,1185.605936342005,0.0,0.0
47.0,0.0,733.0412856480231,1606.187487950737,0.0,0.0
48.0,0.0,949.8048140558259,1558.1849357081892,0.0,0.0
49.0,0.0,486.5896644874426,1450.3940910591507,0.0,0.0
50.0,0.0,701.3464903929834,1266.2305347334552,0.0,0.0
51.0,0.0,1158.3987631068337,1407.1114119223578,0.0,0.0
52.0,0.0,697.3489486489694,1154.2047769694832,0.0,0.0
53.0,0.0,34.306772178794745,1647.6078412218592,0.0,0.0
54.0,0.0,737.3243660875308,1502.1635700256704,0.0,0.0
55.0,0.0,522.1835170748333,472.41417640664866,0.0,0.0
56.0,0.0,1192.2994847578686,1425.2831480305747,0.0,0.0
57.0,0.0,945.8418132837663,1546.684461524666,0.0,0.0
58.0,0.0,498.5822897186954,382.75467236325323,0.0,0.0
59.0,0.0,498.7805804802001,423.68529554637115,0.0,0.0
60.0,0.0,480.2602233932141,372.57051256565137,0.0,0.0
61.0,0.0,367.10758347708725,1226.3425755300002,0.0,0.0
62.0,0.0,902.7781771528629,1566.6632487385891,0.0,0.0
63.0,0.0,59.33652735309668,749.5662850430257,0.0,0.0
64.0,0.0,950.7430859942159,1547.2535101335784,0.0,0.0
65.0,0.0,40.19972394714488,1641.8902424373828,0.0,0.0
66.0,0.0,1170.883607019659,1407.3660159178407,0.0,0.0
67.0,0.0,587.4165506937146,397.1822320751155,0.0,0.0
68.0,0.0,926.2267206225474,1533.960780058368,0.0,0.0
69.0,0.0,509.0203153836645,348.8074730407278,0.0,0.0
70.0,0.0,495.1452498594513,394.7251014569636,0.0,0.0
71.0,0.0,558.8408113562338,301.5711536594428,0.0,0.0
72.0,0.0,8.008543224146536,1632.7059819669907,0.0,0.0
73.0,0.0,888.5646953965443,1503.8609299923392,0.0,0.0
74.0,0.0,241.29606137171433,1593.4815362032757,0.0,0.0
75.0,0.0,553.9179675180334,296.5211746037337,0.0,0.0
76.0,0.0,30.77686980732133,1629.698381048966,0.0,0.0
77.0,0.0,527.880062763131,431.31926770979777,0.0,0.0
78.0,0.0,492.9191055816711,524.696399530721,0.0,0.0
79.0,0.0,466.745236834117,394.7621252856723,0.0,0.0
80.0,0.0,963.1854746152447,1536.4502413417706,0.0,0.0
81.0,0.0,519.6055373522148,877.355498121329,0.0,0.0
82.0,0.0,491.5310702542939,465.50097071183365,0.0,0.0
83.0,0.0,25.13195271557076,1637.676263428018,0.0,0.0
84.0,0.0,262.3092832505049,1539.3806834008512,0.0,0.0
85.0,0.0,33.355149894546756,1656.097953620716,0.0,0.0
86.0,0.0,44.417130487115095,1615.038007772977,0.0,0.0
87.0,0.0,895.3383077961015,1555.6304089588589,0.0,0.0
88.0,0.0,20.20979437194508,1648.9852070955023,0.0,0.0
89.0,0.0,526.2745629040131,401.0417523240914,0.0,0.0
90.0,0.0,529.0685929174516,416.123226242925,0.0,0.0
91.0,0.0,520.457726483651,312.73857375986614,0.0,0.0
92.0,0.0,73.62139378289429,798.9473360580664,0.0,0.0
93.0,0.0,638.4962507536603,406.51771188817685,0.0,0.0
94.0,0.0,10.924498998324818,1643.8729205315226,0.0,0.0
95.0,0.0,509.56627594610285,491.88077351850427,0.0,0.0
96.0,0.0,350.50601202426185,824.1930092888008,0.0,0.0
97.0,0.0,571.8705550229876,430.28075141430645,0.0,0.0
98.0,0.0,1179.4127767349469,1422.8145633665206,0.0,0.0
99.0,0.0,448.05780379001624,1140.6258972397493,0.0,0.0
