id,t,px,py,pz,theta
0.0,0.0,2192.7712457632506,668.4131673578831,0.0,0.0
1.0,0.0,1946.1051622367797,2255.327453586461,0.0,0.0
2.0,0.0,169.22095123453343,772.4256125159545,0.0,0.0
3.0,0.0,758.4504963203509,2748.192020803895,0.0,0.0
4.0,0.0,1535.097879564227,1449.2293461796614,0.0,0.0
5.0,0.0,1172.1273082554012,1796.6424728364914,0.0,0.0
6.0,0.0,49.20697642975113,385.8861648898838,0.0,0.0
7.0,0.0,255.22255413943498,2850.720153017945,0.0,0.0
8.0,0.0,2160.257953416088,1901.4323322736614,0.0,0.0
9.0,0.0,2010.9362020156045,1023.0894448217414,0.0,0.0
10.0,0.0,188.29203578027895,2194.904782617795,0.0,0.0
11.0,0.0,1742.7948782559317,1891.2026776472621,0.0,0.0
12.0,0.0,1648.0629751409956,1317.2357705334373,0.0,0.0
13.0,0.0,472.05285959544767,1069.3557322399151,0.0,0.0
14.0,0.0,1405.3316914628128,1787.477187716753,0.0,0.0
15.0,0.0,1432.5198907422155,2389.8667421414584,0.0,0.0
16.0,0.0,2560.6094785115492,167.43114530896975,0.0,0.0
17.0,0.0,1571.8687254735405,1627.6652854907443,0.0,0.0
18.0,0.0,1843.6451001838857,2204.0558015360007,0.0,0.0
19.0,0.0,420.8019434450207,2595.6479830010853,0.0,0.0
20.0,0.0,1849.3395860097355,1647.8565115594379,0.0,0.0
21.0,0.0,1005.0444005961059,2078.4051771363515,0.0,0.0
22.0,0.0,1373.8794978554806,1922.7705291796244,0.0,0.0
23.0,0.0,1550.4854253360295,2520.4645687971192,0.0,0.0
24.0,0.0,2064.562518791455,901.5297791310242,0.0,0.0
25.0,0.0,828.0997382965153,2805.746523786546,0.0,0.0
26.0,0.0,1146.5858636224257,1139.2795275623102,0.0,0.0
27.0,0.0,532.4686454311577,2111.735006156698,0.0,0.0
28.0,0.0,788.2510325609187,2549.7415211669504,0.0,0.0
29.0,0.0,1728.7770459514393,1267.410902866729,0.0,0.0
30.0,0.0,1676.4909829582975,1512.1804848733727,0.0,0.0
31.0,0.0,1934.891950977344,843.7292212375293,0.0,0.0
32.0,0.0,2355.776376083644,421.9699449324243,0.0,0.0
